1) Line: 48; Suspiciousness = 0.686; Rank = 1
2) Line: 40; Suspiciousness = 0.593; Rank = 2
3) Line: 41; Suspiciousness = 0.593; Rank = 2
4) Line: 13; Suspiciousness = 0.556; Rank = 4
5) Line: 7; Suspiciousness = 0.522; Rank = 5
6) Line: 12; Suspiciousness = 0.522; Rank = 5
7) Line: 15; Suspiciousness = 0.522; Rank = 5
8) Line: 16; Suspiciousness = 0.522; Rank = 5
9) Line: 24; Suspiciousness = 0.500; Rank = 9
10) Line: 25; Suspiciousness = 0.500; Rank = 9
11) Line: 27; Suspiciousness = 0.500; Rank = 9
12) Line: 57; Suspiciousness = 0.500; Rank = 9
13) Line: 2; Suspiciousness = 0.467; Rank = 13
14) Line: 3; Suspiciousness = 0.467; Rank = 13
15) Line: 4; Suspiciousness = 0.467; Rank = 13
16) Line: 5; Suspiciousness = 0.467; Rank = 13
17) Line: 6; Suspiciousness = 0.467; Rank = 13
18) Line: 20; Suspiciousness = 0.467; Rank = 13
19) Line: 29; Suspiciousness = 0.467; Rank = 13
20) Line: 31; Suspiciousness = 0.467; Rank = 13
21) Line: 33; Suspiciousness = 0.467; Rank = 13
22) Line: 34; Suspiciousness = 0.467; Rank = 13
23) Line: 36; Suspiciousness = 0.467; Rank = 13
24) Line: 38; Suspiciousness = 0.467; Rank = 13
25) Line: 39; Suspiciousness = 0.467; Rank = 13
26) Line: 43; Suspiciousness = 0.467; Rank = 13
27) Line: 46; Suspiciousness = 0.467; Rank = 13
28) Line: 47; Suspiciousness = 0.467; Rank = 13
29) Line: 50; Suspiciousness = 0.467; Rank = 13
30) Line: 54; Suspiciousness = 0.467; Rank = 13
31) Line: 8; Suspiciousness = 0.385; Rank = 31
32) Line: 9; Suspiciousness = 0.385; Rank = 31
33) Line: 10; Suspiciousness = 0.385; Rank = 31
34) Line: 44; Suspiciousness = 0.000; Rank = 34
35) Line: 45; Suspiciousness = 0.000; Rank = 34
